epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1631.73,0.84285,1.23468,1.00276,0.92356,0.74936,0.75437,0.62153,0.90568,1.20344,1.06422,6.00243e-05,6.00243e-05,6.00243e-05
83,1652.1,0.8914,1.33452,1.0091,0.92356,0.74936,0.75437,0.62153,0.90568,1.20344,1.06422,5.70246e-05,5.70246e-05,5.70246e-05
84,1672.05,0.84131,1.40433,0.9824,0.93156,0.75502,0.75654,0.62545,0.90251,1.20505,1.05988,5.40249e-05,5.40249e-05,5.40249e-05
85,1692.22,0.8359,1.21717,1.05262,0.93156,0.75502,0.75654,0.62545,0.90251,1.20505,1.05988,5.10252e-05,5.10252e-05,5.10252e-05
86,1711.52,0.82064,1.13207,1.02111,0.93493,0.75543,0.75781,0.62494,0.90242,1.19786,1.05746,4.80255e-05,4.80255e-05,4.80255e-05
87,1731.34,0.87274,1.29298,1.00735,0.93493,0.75543,0.75781,0.62494,0.90242,1.19786,1.05746,4.50258e-05,4.50258e-05,4.50258e-05
88,1751.01,0.82331,1.25345,0.99484,0.93889,0.75073,0.75708,0.62638,0.90476,1.18549,1.05715,4.20261e-05,4.20261e-05,4.20261e-05
89,1769.98,0.81606,1.2399,1.03945,0.93889,0.75073,0.75708,0.62638,0.90476,1.18549,1.05715,3.90264e-05,3.90264e-05,3.90264e-05
90,1790.32,0.79475,1.20466,0.99425,0.94136,0.74649,0.75608,0.62971,0.90674,1.1714,1.05782,3.60267e-05,3.60267e-05,3.60267e-05
91,1808.53,0.8057,0.96364,0.9809,0.94136,0.74649,0.75608,0.62971,0.90674,1.1714,1.05782,3.3027e-05,3.3027e-05,3.3027e-05
92,1827.15,0.83597,0.95157,1.02651,0.93536,0.75727,0.75799,0.63393,0.90253,1.13104,1.05588,3.00273e-05,3.00273e-05,3.00273e-05
93,1845.92,0.81218,0.95487,1.03715,0.93536,0.75727,0.75799,0.63393,0.90253,1.13104,1.05588,2.70276e-05,2.70276e-05,2.70276e-05
94,1864.12,0.79851,0.90561,1.03767,0.9362,0.75345,0.76113,0.63825,0.8971,1.09563,1.0544,2.40279e-05,2.40279e-05,2.40279e-05
95,1882.6,0.85796,0.97678,1.06846,0.9362,0.75345,0.76113,0.63825,0.8971,1.09563,1.0544,2.10282e-05,2.10282e-05,2.10282e-05
96,1901.33,0.87084,1.00967,1.08401,0.93443,0.75281,0.76867,0.64428,0.89219,1.0689,1.05274,1.80285e-05,1.80285e-05,1.80285e-05
97,1919.4,0.80818,0.91455,0.97688,0.93443,0.75281,0.76867,0.64428,0.89219,1.0689,1.05274,1.50288e-05,1.50288e-05,1.50288e-05
98,1937.81,0.82677,0.94753,1.02258,0.93254,0.75408,0.77167,0.64321,0.89202,1.05513,1.05175,1.20291e-05,1.20291e-05,1.20291e-05
99,1956.4,0.81224,0.93887,1.05123,0.93254,0.75408,0.77167,0.64321,0.89202,1.05513,1.05175,9.0294e-06,9.0294e-06,9.0294e-06
100,1974.44,0.78842,0.88095,1.01037,0.93311,0.75732,0.77229,0.6443,0.88594,1.044,1.04913,6.0297e-06,6.0297e-06,6.0297e-06
